Occupation,Total - Employment income statistics,With employment income,Median employment income,Average employment income,"With wages, salaries and commissions","Median wages, salaries and commisions","Average wages, salaries and commisions"
0 Legislative and senior management occupations,"267,695","243,685","102,000","169,200","231,230","106,000","175,200"
00 Legislative and senior managers,"267,695","243,685","102,000","169,200","231,230","106,000","175,200"
000 Legislative and senior managers,"267,695","243,685","102,000","169,200","231,230","106,000","175,200"
0001 Legislative and senior managers,"267,695","243,685","102,000","169,200","231,230","106,000","175,200"
00010 Legislators,"9,385","8,765","55,600","70,700","8,630","55,600","71,100"
00018 Seniors managers - public and private sector 18,"258,310","234,920","104,000","173,000","222,600","108,000","179,200"
"1 Business, finance and administration occupations","3,557,055","3,362,195","48,800","61,450","3,185,110","50,000","62,250"
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","432,605","86,000","105,300","417,110","87,000","107,100"
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","453,640","432,605","86,000","105,300","417,110","87,000","107,100"
1001 Administrative services managers,"207,885","200,565","88,000","104,400","196,495","89,000","105,300"
10010 Financial managers,"78,200","75,520","93,000","112,400","73,940","93,000","113,300"
10011 Human resources managers,"52,360","51,120","92,000","101,100","50,575","92,000","101,600"
10012 Purchasing managers,"27,900","27,060","92,000","101,600","26,615","93,000","102,200"
10019 Other administrative services managers,"49,425","46,865","73,000","96,600","45,370","74,500","98,400"
1002 Managers in financial and business services,"234,915","221,465","83,000","106,300","210,200","85,000","109,100"
"10020 Insurance, real estate and financial brokerage managers","37,760","34,140","96,000","134,600","31,580","99,000","140,000"
"10021 Banking, credit and other investment managers","77,715","75,305","93,000","124,400","74,030","94,000","125,400"
"10022 Advertising, marketing and public relations managers","95,600","90,510","74,000","86,800","85,365","76,000","89,500"
10029 Other business services managers,"23,835","21,515","64,500","79,800","19,230","68,500","82,800"
1003 Managers in communication (except broadcasting),"10,840","10,570","93,000","101,000","10,415","93,000","101,500"
10030 Telecommunication carriers managers,"10,840","10,570","93,000","101,000","10,415","93,000","101,500"
11 Professional occupations in finance and business,"794,045","746,165","65,000","85,900","675,850","67,000","87,200"
111 Professional occupations in finance,"422,595","401,235","68,000","98,200","359,475","69,500","98,900"
"1110 Auditors, accountants and investment professionals","422,595","401,235","68,000","98,200","359,475","69,500","98,900"
11100 Financial auditors and accountants,"211,870","202,780","68,000","85,400","187,180","68,500","83,100"
11101 Financial and investment analysts,"61,240","58,520","78,000","135,400","56,785","78,500","136,400"
11102 Financial advisors,"101,935","97,240","65,500","103,800","78,875","67,000","107,500"
"11103 Securities agents, investment dealers and brokers","15,880","13,250","60,000","134,600","10,995","70,000","156,600"
11109 Other financial officers,"31,675","29,450","60,800","77,600","25,645","62,000","79,800"
112 Professional occupations in business,"371,455","344,920","61,600","71,600","316,375","64,000","73,900"
1120 Human resources and business service professionals,"371,455","344,920","61,600","71,600","316,375","64,000","73,900"
11200 Human resources professionals,"99,785","96,865","71,000","78,200","94,300","71,500","78,800"
11201 Professional occupations in business management consulting,"113,075","101,085","70,500","85,300","88,840","75,000","89,300"
"11202 Professional occupations in advertising, marketing and public relations","158,595","146,975","49,200","57,800","133,240","51,600","60,200"
12 Administrative and financial supervisors and specialized administrative occupations,"523,055","495,335","52,400","55,450","459,465","54,400","57,600"
120 Administrative and financial supervisors,"70,690","68,415","59,200","62,600","67,500","59,200","63,000"
1201 Administrative and financial supervisors,"70,690","68,415","59,200","62,600","67,500","59,200","63,000"
"12010 Supervisors, general office and administrative support workers","19,380","18,855","60,800","64,800","18,610","61,200","65,100"
"12011 Supervisors, finance and insurance office workers","18,350","17,885","63,600","66,700","17,705","64,000","67,000"
"12012 Supervisors, library, correspondence and related information workers","3,420","2,815","41,200","44,120","2,655","44,400","46,240"
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","29,540","28,855","56,000","60,450","28,530","56,400","60,750"
121 Specialized administrative occupations,"229,445","220,315","56,800","60,250","210,955","58,000","61,500"
1210 Administrative and regulatory occupations,"203,735","196,195","58,000","62,250","190,255","58,800","63,000"
12100 Executive assistants,"50,200","49,000","60,800","67,100","48,160","61,200","67,300"
12101 Human resources and recruitment officers,"43,415","41,305","54,400","60,100","39,980","55,200","60,800"
12102 Procurement and purchasing agents and officers,"52,200","50,665","63,600","71,400","49,595","64,000","71,400"
12103 Conference and event planners,"24,200","22,195","34,800","39,360","19,670","38,800","42,120"
12104 Employment insurance and revenue officers,"33,720","33,025","59,200","59,050","32,855","59,200","59,150"
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","25,705","24,120","44,000","44,200","20,700","48,000","48,040"
"12110 Court reporters, medical transcriptionists and related occupations","10,390","9,485","23,800","28,920","6,420","36,000","33,320"
12111 Health information management occupations,"6,490","6,350","57,600","57,150","6,275","57,200","56,950"
12112 Records management technicians,"3,010","2,900","52,800","54,650","2,845","52,800","55,150"
12113 Statistical officers and related research support occupations,"5,815","5,390","47,600","50,200","5,160","50,400","51,500"
"122 Accounting, insurance and related business administrative occupations","222,925","206,610","43,600","47,920","181,005","46,800","51,000"
"1220 Accounting, insurance and related business administrative occupations","222,925","206,610","43,600","47,920","181,005","46,800","51,000"
12200 Accounting technicians and bookkeepers,"156,740","142,605","34,000","39,120","119,975","38,000","42,240"
