,PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3,Player Name
0,893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1987-88,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
1,893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1988-89,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
2,893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1989-90,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
3,893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1990-91,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
4,893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1991-92,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
5,893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1992-93,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
6,893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1995-96,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
7,893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1996-97,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
8,893,Michael,Jordan,Chicago Bulls,All-Defensive Team,1,1997-98,,,1610612741,Award,Kia Motors,KIADT,,Michael Jordan
9,893,Michael,Jordan,Chicago Bulls,All-NBA,2,1984-85,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
10,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1986-87,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
11,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1987-88,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
12,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1988-89,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
13,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1989-90,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
14,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1990-91,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
15,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1991-92,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
16,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1992-93,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
17,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1995-96,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
18,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1996-97,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
19,893,Michael,Jordan,Chicago Bulls,All-NBA,1,1997-98,,,1610612741,Award,Kia Motors,KIANT,,Michael Jordan
20,893,Michael,Jordan,Chicago Bulls,All-Rookie Team,1,1984-85,,,1610612741,Award,Kia Motors,KIART,,Michael Jordan
21,893,Michael,Jordan,,Hall of Fame Inductee,,2009,,,,Award,Hall of Fame,,,Michael Jordan
22,893,Michael,Jordan,Chicago Bulls,IBM Award,,1984-85,,,,Award,IBM,IBMAW,,Michael Jordan
23,893,Michael,Jordan,Chicago Bulls,IBM Award,,1988-89,,,,Award,IBM,IBMAW,,Michael Jordan
